IPK,Kehadiran,Jam_Belajar,Organisasi,Penghasilan_Ortu,Jenis_Kelamin,Status_Beasiswa,Lulus_Tepat_Waktu
3.51,77,10,Tidak,2300000,Perempuan,Ya,Ya
2.78,80,11,Tidak,5650000,Laki-laki,Tidak,Tidak
3.71,75,10,Tidak,3200000,Laki-laki,Ya,Ya
2.73,95,12,Tidak,4800000,Perempuan,Ya,Ya
3.16,87,4,Ya,3150000,Perempuan,Ya,Tidak
2.93,95,11,Tidak,2200000,Perempuan,Ya,Ya
2.99,68,9,Tidak,5300000,Laki-laki,Tidak,Tidak
2.13,72,7,Tidak,5200000,Laki-laki,Tidak,Tidak
3.06,66,5,Tidak,2100000,Perempuan,Ya,Tidak
2.8,91,9,Ya,3550000,Perempuan,Tidak,Tidak
3.95,78,16,Ya,4850000,Laki-laki,Tidak,Ya
3.05,93,9,Tidak,3150000,Laki-laki,Ya,Ya
3.44,79,16,Ya,4350000,Perempuan,Tidak,Ya
3.35,77,5,Tidak,4200000,Laki-laki,Ya,Ya
3.09,79,8,Ya,2850000,Perempuan,Tidak,Ya
2.61,71,9,Tidak,4500000,Laki-laki,Tidak,Tidak
3.66,84,10,Tidak,2650000,Laki-laki,Tidak,Ya
2.99,91,13,Ya,3100000,Perempuan,Tidak,Ya
2.99,94,9,Tidak,4750000,Laki-laki,Tidak,Ya
3.47,82,6,Tidak,3600000,Laki-laki,Ya,Ya
3.54,86,8,Tidak,5650000,Laki-laki,Ya,Ya
3.24,100,6,Ya,4500000,Laki-laki,Ya,Ya
3.21,83,7,Tidak,2800000,Laki-laki,Ya,Ya
3.0,86,13,Tidak,2850000,Perempuan,Ya,Ya
3.18,67,7,Ya,5650000,Perempuan,Tidak,Ya
3.37,70,7,Tidak,4300000,Perempuan,Ya,Ya
2.32,87,6,Tidak,5150000,Perempuan,Tidak,Tidak
2.55,100,18,Tidak,2900000,Laki-laki,Ya,Ya
3.02,78,9,Ya,2500000,Perempuan,Ya,Tidak
2.69,94,13,Ya,5200000,Laki-laki,Ya,Ya
3.21,86,12,Tidak,6050000,Laki-laki,Tidak,Ya
3.21,86,16,Ya,1350000,Laki-laki,Ya,Ya
2.82,84,14,Ya,7900000,Laki-laki,Tidak,Ya
3.35,87,17,Ya,2300000,Laki-laki,Tidak,Ya
4.0,71,2,Tidak,5550000,Laki-laki,Ya,Ya
2.94,88,8,Tidak,2650000,Perempuan,Tidak,Ya
3.44,84,12,Ya,6200000,Perempuan,Tidak,Ya
2.48,87,13,Ya,2850000,Perempuan,Ya,Tidak
2.58,76,2,Tidak,2700000,Laki-laki,Ya,Tidak
3.15,74,19,Ya,3050000,Laki-laki,Ya,Ya
3.01,81,5,Tidak,5150000,Laki-laki,Ya,Tidak
3.46,95,5,Ya,3450000,Perempuan,Tidak,Ya
3.12,100,11,Tidak,3050000,Laki-laki,Ya,Ya
3.46,68,13,Ya,3400000,Laki-laki,Ya,Ya
3.66,99,19,Ya,7050000,Laki-laki,Tidak,Ya
2.81,86,15,Ya,4200000,Laki-laki,Tidak,Ya
2.71,84,12,Tidak,4150000,Laki-laki,Tidak,Ya
3.31,96,14,Tidak,2650000,Perempuan,Ya,Ya
3.19,90,7,Tidak,3950000,Perempuan,Tidak,Ya
2.31,63,11,Ya,4550000,Laki-laki,Tidak,Tidak
3.22,94,2,Tidak,3150000,Perempuan,Ya,Ya
2.65,89,11,Ya,5150000,Perempuan,Ya,Tidak
2.94,86,11,Ya,1800000,Perempuan,Ya,Tidak
3.75,67,5,Ya,4500000,Laki-laki,Tidak,Ya
3.21,73,11,Ya,3400000,Laki-laki,Tidak,Ya
2.78,88,15,Tidak,3400000,Laki-laki,Ya,Ya
3.04,67,16,Tidak,6600000,Perempuan,Tidak,Tidak
2.9,82,9,Ya,4350000,Laki-laki,Tidak,Ya
3.34,75,17,Ya,5250000,Laki-laki,Tidak,Ya
2.61,87,15,Ya,4100000,Laki-laki,Tidak,Ya
2.39,88,12,Ya,2400000,Laki-laki,Tidak,Tidak
3.75,64,12,Tidak,5100000,Laki-laki,Tidak,Ya
2.64,90,12,Tidak,2750000,Laki-laki,Tidak,Tidak
3.79,100,12,Tidak,1600000,Laki-laki,Ya,Ya
3.96,73,12,Tidak,2750000,Perempuan,Ya,Ya
3.74,90,14,Ya,2250000,Laki-laki,Tidak,Ya
2.71,75,5,Ya,2150000,Perempuan,Ya,Tidak
3.09,76,11,Tidak,7450000,Perempuan,Ya,Ya
2.89,92,18,Ya,3850000,Perempuan,Tidak,Ya
